raw_api_name,canonical_name,file_name,status,notes
Tensor.new_empty,Tensor.new_empty,test_Tensor_new_empty.py,pending,
Tensor.new_zeros,Tensor.new_zeros,test_Tensor_new_zeros.py,pending,
Tensor.register_hook,Tensor.register_hook,test_Tensor_register_hook.py,pending,
Tensor.requires_grad,Tensor.requires_grad,test_Tensor_requires_grad.py,pending,
Tensor.untyped_storage,Tensor.untyped_storage,test_Tensor_untyped_storage.py,pending,
torch.__future__.get_swap_module_params_on_conversion,torch.__future__.get_swap_module_params_on_conversion,test___future___get_swap_module_params_on_conversion.py,pending,
torch._sync,torch._sync,test__sync.py,pending,
torch.autograd.Variable._execution_engine.queue_callback,torch.autograd.Variable._execution_engine.queue_callback,test_autograd_Variable__execution_engine_queue_callback.py,pending,
torch.compiler.is_compiling,torch.compiler.is_compiling,test_compiler_is_compiling.py,pending,
torch.dtype,torch.dtype,test_dtype.py,pending,
torch.Event,torch.Event,test_Event.py,pending,
torch.library.impl,torch.library.impl,test_library_impl.py,pending,
torch.library.Library,torch.library.Library,test_library_Library.py,pending,
torch.nn.Module.buffers,torch.nn.Module.buffers,test_nn_Module_buffers.py,pending,
torch.nn.Module.modules,torch.nn.Module.modules,test_nn_Module_modules.py,pending,
torch.nn.Module.named_modules,torch.nn.Module.named_modules,test_nn_Module_named_modules.py,pending,
torch.nn.Module.named_parameters,torch.nn.Module.named_parameters,test_nn_Module_named_parameters.py,pending,
torch.nn.Module.register_forward_hook,torch.nn.Module.register_forward_hook,test_nn_Module_register_forward_hook.py,pending,
torch.nn.Module.register_forward_pre_hook,torch.nn.Module.register_forward_pre_hook,test_nn_Module_register_forward_pre_hook.py,pending,
torch.nn.Module.register_load_state_dict_post_hook,torch.nn.Module.register_load_state_dict_post_hook,test_nn_Module_register_load_state_dict_post_hook.py,pending,
torch.utils._pytree.tree_flatten,torch.utils._pytree.tree_flatten,test_utils__pytree_tree_flatten.py,pending,
torch.utils._pytree.tree_map,torch.utils._pytree.tree_map,test_utils__pytree_tree_map.py,pending,
torch.utils._pytree.tree_unflatten,torch.utils._pytree.tree_unflatten,test_utils__pytree_tree_unflatten.py,pending,
torch.utils.swap_tensors,torch.utils.swap_tensors,test_utils_swap_tensors.py,pending,
torch.nn.Parameter.grad,torch.nn.Parameter.grad,test_nn_Parameter_grad.py,pending,
torch.nn.Parameter.device,torch.nn.Parameter.device,test_nn_Parameter_device.py,pending,
torch.nn.Parameter.device.type,torch.nn.Parameter.device.type,test_nn_Parameter_device_type.py,pending,
torch.nn.Parameter.is_contiguous,torch.nn.Parameter.is_contiguous,test_nn_Parameter_is_contiguous.py,pending,
torch.nn.Parameter.ndim,torch.nn.Parameter.ndim,test_nn_Parameter_ndim.py,pending,
torch.nn.Parameter.size,torch.nn.Parameter.size,test_nn_Parameter_size.py,pending,
torch.nn.Parameter.stride,torch.nn.Parameter.stride,test_nn_Parameter_stride.py,pending,
torch.nn.Parameter.dtype,torch.nn.Parameter.dtype,test_nn_Parameter_dtype.py,pending,
torch.nn.Parameter.itemsize,torch.nn.Parameter.itemsize,test_nn_Parameter_itemsize.py,pending,
torch.autograd._unsafe_preserve_version_counter,torch.autograd._unsafe_preserve_version_counter,test_autograd__unsafe_preserve_version_counter.py,pending,
torch.library,torch.library,test_library.py,pending,
torch._dynamo.compiled_autograd.compiled_autograd_enabled,torch._dynamo.compiled_autograd.compiled_autograd_enabled,test__dynamo_compiled_autograd_compiled_autograd_enabled.py,pending,
torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,test__dynamo_compiled_autograd_compiled_autograd_enabled_force_eager.py,pending,
torch._dynamo.compiled_autograd.in_compiled_autograd_region,torch._dynamo.compiled_autograd.in_compiled_autograd_region,test__dynamo_compiled_autograd_in_compiled_autograd_region.py,pending,
torch._running_with_deploy,torch._running_with_deploy,test__running_with_deploy.py,pending,
torch.utils._python_dispatch.is_traceable_wrapper_subclass,torch.utils._python_dispatch.is_traceable_wrapper_subclass,test_utils__python_dispatch_is_traceable_wrapper_subclass.py,pending,
torch._dynamo.comptime.comptime.print,torch._dynamo.comptime.comptime.print,test__dynamo_comptime_comptime_print.py,pending,
torch._dynamo.config,torch._dynamo.config,test__dynamo_config.py,pending,
torch._dynamo.config.skip_fsdp_hooks,torch._dynamo.config.skip_fsdp_hooks,test__dynamo_config_skip_fsdp_hooks.py,pending,
torch._C.DispatchKey.Functionalize,torch._C.DispatchKey.Functionalize,test__C_DispatchKey_Functionalize.py,pending,
torch._C.DispatchKeySet,torch._C.DispatchKeySet,test__C_DispatchKeySet.py,pending,
torch._C._ExcludeDispatchKeyGuard,torch._C._ExcludeDispatchKeyGuard,test__C__ExcludeDispatchKeyGuard.py,pending,
torch._from_functional_tensor,torch._from_functional_tensor,test__from_functional_tensor.py,pending,
torch._prims_common.make_contiguous_strides_for,torch._prims_common.make_contiguous_strides_for,test__prims_common_make_contiguous_strides_for.py,pending,
torch.fx.node.has_side_effect,torch.fx.node.has_side_effect,test_fx_node_has_side_effect.py,pending,
torch.nn.Module.__setattr__,torch.nn.Module.__setattr__,test_nn_Module___setattr__.py,pending,
torch.nn.Module._parameters,torch.nn.Module._parameters,test_nn_Module__parameters.py,pending,
torch._logging.warning_once,torch._logging.warning_once,test__logging_warning_once.py,pending,
torch.autograd.graph._MultiHandle,torch.autograd.graph._MultiHandle,test_autograd_graph__MultiHandle.py,pending,
