raw_api_name,canonical_name,file_name,status,notes,selected_for_run,run_phase,stage,test_file_exists,final_status,pytest_outcome,failure_category,root_cause_summary,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,rerun_status,changed_files,fix_artifact,report_path,last_updated_utc
Tensor.new_empty,Tensor.new_empty,test_Tensor_new_empty.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,4,4,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
Tensor.new_zeros,Tensor.new_zeros,test_Tensor_new_zeros.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,4,4,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
Tensor.register_hook,Tensor.register_hook,test_Tensor_register_hook.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_Tensor_register_hook.py""]",runs/20260323T041305Z/fixes/test_Tensor_register_hook.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
Tensor.requires_grad,Tensor.requires_grad,test_Tensor_requires_grad.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
Tensor.untyped_storage,Tensor.untyped_storage,test_Tensor_untyped_storage.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.__future__.get_swap_module_params_on_conversion,torch.__future__.get_swap_module_params_on_conversion,test___future___get_swap_module_params_on_conversion.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,1,1,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._sync,torch._sync,test__sync.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.autograd.Variable._execution_engine.queue_callback,torch.autograd.Variable._execution_engine.queue_callback,test_autograd_Variable__execution_engine_queue_callback.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.compiler.is_compiling,torch.compiler.is_compiling,test_compiler_is_compiling.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.dtype,torch.dtype,test_dtype.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
