API Name,Final Status,Category,Auto-Fix?,Rerun Status,Quick Summary
Tensor.new_empty,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
Tensor.new_zeros,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
Tensor.register_hook,fixed,NONE,Yes,pytest_passed,No explicit failure detail was captured.
Tensor.requires_grad,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
Tensor.untyped_storage,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch.__future__.get_swap_module_params_on_conversion,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch._sync,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch.autograd.Variable._execution_engine.queue_callback,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch.compiler.is_compiling,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch.dtype,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch.Event,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch.library.impl,pytest_passed,NONE,No,not_run,No explicit failure detail was captured.
torch.library.Library,pytest_failed,PYTORCH_BUG,No,not_run,"RuntimeError: !dispatch_key_.has_value() INTERNAL ASSERT FAILED at ""/pytorch/aten/src/ATen/core/library.cpp"":87, please report a bug to PyTorch. (Error occurred while processing TORCH_LIBRARY_FRAGMENT block at /dev/null:166) def test_library_construct_and_define_for_npu_dispatch():         _require_npu()              namespace = ""pta_test_library_ctor""         lib = torch.library.Library(namespace, ""DEF"") >       frag = torch.library.Library(namespace, ""FRAGMENT"", ""PrivateUse1"")                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^  test/api_test/test_library_Library.py:34:  _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _   self = <[AttributeError(""'Library' object has no attribute 'kind'"") raised in repr()] Library object at 0xfffdd80a3190> ns = 'pta_test_library_ctor', kind = 'FRAGMENT', dispatch_key = 'PrivateUse1'      def __init__(self, ns, kind, dispatch_key=""""):         if kind not in (""IMPL"", ""DEF"", ""FRAGMENT""):             raise ValueError(""Unsupported kind: "", kind)              if ns in _reserved_namespaces and (kind == ""DEF"" or kind == ""FRAGMENT""):             raise ValueError(                 ns,                 "" is a reserved namespace. Please try creating a library with another name."",             )         if torch._running_with_deploy():             _library.utils.warn_deploy()             return              frame = traceback.extract_stack(limit=3)[0]         filename, lineno = frame.filename, frame.lineno >       self.m: Optional[Any] = torch._C._dispatch_library(             kind, ns, dispatch_key, filename, lineno         ) E       RuntimeError: !dispatch_key_.has_value() INTERNAL ASSERT FAILED at ""/pytorch/aten/src/ATen/core/library.cpp"":87, please report a bug to PyTorch. (Error occurred while processing TORCH_LIBRARY_FRAGMENT block at /dev/null:166)  /usr/local/python3.11.14/lib/python3.11/site-packages/torch/library.py:109: RuntimeError"
torch.nn.Module.buffers,fixed,NONE,Yes,pytest_passed,No explicit failure detail was captured.
torch.nn.Module.modules,fixed,NONE,Yes,pytest_passed,No explicit failure detail was captured.
torch.nn.Module.named_modules,fixed,NONE,Yes,pytest_passed,No explicit failure detail was captured.
torch.nn.Module.named_parameters,fixed,NONE,Yes,pytest_passed,No explicit failure detail was captured.
torch.nn.Module.register_forward_hook,fixed,NONE,Yes,pytest_passed,No explicit failure detail was captured.
torch.nn.Module.register_forward_pre_hook,fixed,NONE,Yes,pytest_passed,No explicit failure detail was captured.
